nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Adrian Yanez,Bantamweight,Male,170.18,177.8,135.0,1
Trevin Giles,Error,Male,182.88,187.96,185.0,2082
Trevin Giles,Middleweight,Male,182.88,187.96,185.0,2082
Trevin Giles,Peso_Pactado,Male,182.88,187.96,185.0,2082
Tai Tuivasa,Peso_Pactado,Male,187.96,190.5,264.0,1708
Tai Tuivasa,Error,Male,187.96,190.5,264.0,1708
Cheyanne Buys,Strawweight,Women,160.02,160.02,115.0,4
Marion Reneau,Bantamweight,Women,167.64,172.72,135.0,1856
Marion Reneau,Peso_Pactado,Women,167.64,172.72,135.0,1856
Marion Reneau,Error,Women,167.64,172.72,135.0,1856
Leonardo Santos,Peso_Pactado,Male,182.88,190.5,155.0,2075
Leonardo Santos,Lightweight,Male,182.88,190.5,155.0,2075
Leonardo Santos,Error,Male,182.88,190.5,155.0,2075
Song Kenan,Welterweight,Male,182.88,180.34,170.0,1916
Derek Brunson,Middleweight,Male,185.42,195.58,185.0,2258
Derek Brunson,Peso_Pactado,Male,185.42,195.58,185.0,2258
Derek Brunson,Error,Male,185.42,195.58,185.0,2258
Montel Jackson,Bantamweight,Male,177.8,190.5,135.0,1826
Montel Jackson,Peso_Pactado,Male,177.8,190.5,135.0,1826
Bruno Silva,Peso_Pactado,Male,182.88,187.08,185.0,2004
Bruno Silva,Error,Male,182.88,187.08,185.0,2004
Manel Kape,Flyweight,Male,165.1,172.72,125.0,1584
Misha Cirkunov,Light heavyweight,Male,190.5,195.58,205.0,2269
Misha Cirkunov,Peso_Pactado,Male,190.5,195.58,205.0,2269
Leon Edwards,Welterweight,Male,187.96,187.96,170.0,2048
Leon Edwards,Error,Male,187.96,187.96,170.0,2048
Charles Jourdain,Featherweight,Male,175.26,175.26,145.0,1860
Charles Jourdain,Error,Male,175.26,175.26,145.0,1860
Charles Jourdain,Peso_Pactado,Male,175.26,175.26,145.0,1860
Eryk Anders,Middleweight,Male,185.42,190.5,185.0,2136
Eryk Anders,Error,Male,185.42,190.5,185.0,2136
Eryk Anders,Peso_Pactado,Male,185.42,190.5,185.0,2136
Angela Hill,Strawweight,Women,160.02,162.56,115.0,1767
Angela Hill,Peso_Pactado,Women,160.02,162.56,115.0,1767
Jonathan Martinez,Bantamweight,Male,172.72,177.8,135.0,1717
Jonathan Martinez,Peso_Pactado,Male,172.72,177.8,135.0,1717
Dan Ige,Featherweight,Male,170.18,180.34,145.0,1833
Dan Ige,Error,Male,170.18,180.34,145.0,1833
Nasrat Haqparast,Lightweight,Male,177.8,182.88,155.0,1942
Cortney Casey,Flyweight,Women,170.18,170.18,125.0,2235
Cortney Casey,Peso_Pactado,Women,170.18,170.18,125.0,2235
Cortney Casey,Error,Women,170.18,170.18,125.0,2235
Matthew Semelsberger,Welterweight,Male,185.42,190.5,170.0,1786
Rani Yahya,Bantamweight,Male,167.64,170.18,135.0,2317
Rani Yahya,Error,Male,167.64,170.18,135.0,2317
Rani Yahya,Peso_Pactado,Male,167.64,170.18,135.0,2317
Gloria de Paula,Strawweight,Women,165.1,170.18,115.0,23
Dominick Cruz,Error,Male,172.72,172.72,135.0,1890
Dominick Cruz,Bantamweight,Male,172.72,172.72,135.0,1890
Dominick Cruz,Peso_Pactado,Male,172.72,172.72,135.0,1890
Song Yadong,Peso_Pactado,Male,172.72,170.18,145.0,1957
Song Yadong,Featherweight,Male,172.72,170.18,145.0,1957
Song Yadong,Error,Male,172.72,170.18,145.0,1957
Petr Yan,Bantamweight,Male,170.18,170.18,135.0,2072
Petr Yan,Peso_Pactado,Male,170.18,170.18,135.0,2072
Jan Blachowicz,Peso_Pactado,Male,187.96,198.12,205.0,1751
Jan Blachowicz,Light heavyweight,Male,187.96,198.12,205.0,1751
Jan Blachowicz,Error,Male,187.96,198.12,205.0,1751
Thiago Santos,Light heavyweight,Male,187.96,193.04,205.0,2060
Thiago Santos,Peso_Pactado,Male,187.96,193.04,205.0,2060
Thiago Santos,Error,Male,187.96,193.04,205.0,2060
Joseph Benavidez,Flyweight,Male,162.56,165.1,125.0,1822
Joseph Benavidez,Error,Male,162.56,165.1,125.0,1822
Amanda Nunes,Featherweight,Women,172.72,175.26,145.0,2129
Amanda Nunes,Peso_Pactado,Women,172.72,175.26,145.0,2129
Amanda Nunes,Error,Women,172.72,175.26,145.0,2129
Islam Makhachev,Lightweight,Male,177.8,177.8,155.0,2194
Islam Makhachev,Error,Male,177.8,177.8,155.0,2194
Tim Elliott,Flyweight,Male,170.18,167.64,125.0,1997
Tim Elliott,Error,Male,170.18,167.64,125.0,1997
Tim Elliott,Peso_Pactado,Male,170.18,167.64,125.0,1997
Livinha Souza,Strawweight,Women,160.02,160.02,115.0,1795
Livinha Souza,Error,Women,160.02,160.02,115.0,1795
Rogerio Bontorin,Flyweight,Male,165.1,170.18,125.0,2124
Rogerio Bontorin,Error,Male,165.1,170.18,125.0,2124
Uros Medic,Peso_Pactado,Male,185.42,180.34,155.0,35
Kennedy Nzechukwu,Light heavyweight,Male,195.58,210.82,205.0,2039
Sean Brady,Welterweight,Male,177.8,182.88,170.0,1992
Mario Bautista,Error,Male,175.26,175.26,135.0,1929
Mario Bautista,Bantamweight,Male,175.26,175.26,135.0,1929
