Referee,date,location,Winner,title_bout,weight_class,Genre,R_fighter,B_fighter,R_age,B_age,ID_peleas,Year
Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Male,Adrian Yanez,Gustavo Lopez,27.0,31.0,0,2021
Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Error,Male,Trevin Giles,Roman Dolidze,28.0,32.0,1,2021
Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Tai Tuivasa,Harry Hunsucker,28.0,32.0,2,2021
Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Strawweight,Women,Cheyanne Buys,Montserrat Conejo,25.0,28.0,3,2021
Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Women,Marion Reneau,Macy Chiasson,43.0,29.0,4,2021
Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Peso_Pactado,Male,Leonardo Santos,Grant Dawson,41.0,27.0,5,2021
Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Welterweight,Male,Song Kenan,Max Griffin,31.0,35.0,6,2021
Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,Male,Derek Brunson,Kevin Holland,37.0,28.0,7,2021
Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Male,Montel Jackson,Jesse Strader,28.0,29.0,8,2021
Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Bruno Silva,JP Buys,31.0,24.0,9,2021
No especificado,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Flyweight,Male,Manel Kape,Matheus Nicolau,27.0,28.0,10,2021
Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Light heavyweight,Male,Misha Cirkunov,Ryan Spann,34.0,29.0,11,2021
Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Welterweight,Male,Leon Edwards,Belal Muhammad,29.0,32.0,12,2021
Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,Male,Charles Jourdain,Marcelo Rojo,25.0,32.0,13,2021
Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Middleweight,Male,Eryk Anders,Darren Stewart,33.0,30.0,14,2021
Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Strawweight,Women,Angela Hill,Ashley Yoder,36.0,33.0,15,2021
Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Male,Jonathan Martinez,Davey Grant,26.0,35.0,16,2021
Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,Male,Dan Ige,Gavin Tucker,29.0,34.0,17,2021
Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Nasrat Haqparast,Rafa Garcia,25.0,26.0,18,2021
Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Flyweight,Women,Cortney Casey,JJ Aldrich,33.0,28.0,19,2021
Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Welterweight,Male,Matthew Semelsberger,Jason Witt,28.0,34.0,20,2021
Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Male,Rani Yahya,Ray Rodriguez,36.0,33.0,21,2021
Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Strawweight,Women,Gloria de Paula,Jinh Yu Frey,25.0,35.0,22,2021
Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Error,Male,Dominick Cruz,Casey Kenney,35.0,29.0,23,2021
Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Peso_Pactado,Male,Song Yadong,Kyler Phillips,23.0,25.0,24,2021
Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,1,Bantamweight,Male,Petr Yan,Aljamain Sterling,28.0,31.0,25,2021
Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Red,1,Peso_Pactado,Male,Jan Blachowicz,Israel Adesanya,38.0,31.0,26,2021
Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Light heavyweight,Male,Thiago Santos,Aleksandar Rakic,37.0,29.0,27,2021
