,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,Height_Red,Weight_Red,Stance_Red,SLpM_Red,Str_Acc_Red,SApM_Red,Str_Def_Red,TD_Avg_Red,TD_Acc_Red,TD_Def_Red,Sub_Avg_Red,Height_Blue,Weight_Blue,Stance_Blue,SLpM_Blue,Str_Acc_Blue,SApM_Blue,Str_Def_Blue,TD_Avg_Blue,TD_Acc_Blue,TD_Def_Blue,Sub_Avg_Blue,winner_color,R_SIG_STRIKE_LANDED,R_SIG_STRIKE_TOTAL,B_SIG_STRIKE_LANDED,B_SIG_STRIKE_TOTAL,R_TOTAL_STRIKE_LANDED,R_TOTAL_STRIKE_TOTAL,B_TOTAL_STRIKE_LANDED,B_TOTAL_STRIKE_TOTAL,R_TD_STRIKE_LANDED,R_TD_STRIKE_TOTAL,B_TD_STRIKE_LANDED,B_TD_STRIKE_TOTAL,R_HEAD_LANDED,R_HEAD_TOTAL,B_HEAD_LANDED,B_HEAD_TOTAL,R_BODY_LANDED,R_BODY_TOTAL,B_BODY_LANDED,B_BODY_TOTAL,R_LEG_LANDED,R_LEG_TOTAL,B_LEG_LANDED,B_LEG_TOTAL,R_DISTANCE_LANDED,R_DISTANCE_TOTAL,B_DISTANCE_LANDED,B_DISTANCE_TOTAL,R_CLINCH_LANDED,R_CLINCH_TOTAL,B_CLINCH_LANDED,B_CLINCH_TOTAL,R_GROUND_LANDED,R_GROUND_TOTAL,B_GROUND_LANDED,B_GROUND_TOTAL,weightclass,titlebout
0,2,0,39,45,0,0,0,0,0,0,3,0,67,135,Orthodox,4.69,44,2.31,55,0.0,0,100,0.0,65,135,Orthodox,2.24,41,4.65,51,1.07,50,27,0.5,1,41,103,23,51,41,103,23,51,0,0,0,1,32,83,14,40,8,19,5,7,1,1,4,4,41,102,23,51,0,0,0,0,0,1,0,0,bantamweight,0
1,0,0,47,47,50,33,1,2,0,1,75,255,72,185,Orthodox,3.26,56,1.88,62,1.37,80,79,0.3,74,205,Orthodox,2.98,51,1.75,61,1.75,50,33,2.2,1,27,57,32,67,43,73,75,110,1,2,1,3,22,51,10,37,4,4,7,14,1,2,15,16,15,42,28,59,4,5,3,6,8,10,1,2,middleweight,0
2,1,0,77,33,0,0,0,0,0,0,10,0,74,264,Southpaw,4.38,50,3.44,50,0.0,0,46,0.0,74,241,Orthodox,4.33,51,8.44,41,0.0,0,0,0.0,1,14,18,2,6,14,18,2,6,0,0,0,0,10,14,1,5,0,0,0,0,4,4,1,1,9,10,2,6,0,0,0,0,5,8,0,0,heavyweight,0
3,0,0,47,36,0,80,0,2,3,1,64,593,63,115,Switch,4.1,53,1.67,65,0.0,0,60,0.0,60,115,Southpaw,1.0,36,2.07,52,4.0,80,0,2.0,0,31,65,15,41,49,87,136,168,0,0,4,5,26,60,10,35,5,5,0,1,0,0,5,5,26,56,15,41,2,2,0,0,3,7,0,0,womens strawweight,0
4,0,0,47,36,50,100,0,0,0,1,135,228,66,135,Orthodox,3.29,41,3.37,61,0.66,63,50,0.8,71,135,Orthodox,4.16,49,2.17,46,0.98,21,64,0.5,0,30,63,51,138,59,93,92,184,2,4,1,1,14,40,29,110,7,13,15,20,9,10,7,8,25,54,36,119,5,9,13,15,0,0,2,4,womens bantamweight,0
5,0,0,44,54,50,7,0,0,0,0,81,498,72,155,Orthodox,2.65,44,2.77,58,1.07,29,89,0.3,70,145,Switch,3.4,48,2.1,51,3.44,34,40,1.6,0,30,67,46,84,74,115,75,132,1,2,1,13,14,45,16,48,6,10,23,27,10,12,7,9,28,65,33,68,2,2,9,11,0,0,4,5,lightweight,0
6,0,1,58,60,0,0,0,0,0,0,0,28,72,170,Orthodox,4.39,46,4.37,54,0.0,0,50,0.0,71,170,Orthodox,4.14,48,3.94,56,1.7,51,66,0.5,0,14,24,17,28,14,24,17,28,0,0,0,1,5,10,11,17,5,8,2,7,4,6,4,4,14,24,16,27,0,0,0,0,0,0,1,1,welterweight,0
7,0,0,46,48,50,100,1,0,0,0,1015,107,73,185,Southpaw,3.46,47,2.72,53,3.11,33,94,0.5,75,185,Orthodox,4.14,56,2.58,56,1.08,45,51,0.7,1,43,93,36,74,226,323,190,236,6,12,1,1,28,74,28,64,7,10,2,4,8,9,6,6,14,43,29,64,10,10,5,7,19,40,2,3,middleweight,0
8,2,0,57,56,0,0,0,0,0,0,16,1,70,135,Southpaw,3.77,55,1.5,56,4.15,77,66,0.2,67,135,Orthodox,7.12,56,7.63,42,0.0,0,0,0.0,1,15,26,14,25,15,26,14,25,0,0,0,0,11,22,3,7,2,2,3,7,2,2,8,11,5,12,12,22,3,4,0,1,7,10,2,2,bantamweight,0
9,3,0,60,30,50,0,0,1,0,0,231,62,72,185,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,65,125,Orthodox,2.66,45,3.05,43,2.22,50,33,2.2,1,37,61,17,56,62,89,37,76,1,2,0,1,29,51,8,42,4,6,4,7,4,4,5,7,26,43,15,53,1,2,2,3,10,16,0,0,flyweight,0
