nombre,weight_class,Genre,Fight,Year,total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,ID_peleador
Adrian Yanez,Bantamweight,Male,2021-03-20,2021,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,1
Adrian Yanez,Bantamweight,Male,2020-10-31,2020,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,1
Trevin Giles,Error,Male,2021-03-20,2021,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,2082
Trevin Giles,Error,Male,2017-07-08,2017,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,2082
Trevin Giles,Middleweight,Male,2020-11-07,2020,14,0,2,0,2,3,2,0,0,1,0,2,0,0,Orthodox,2082
Trevin Giles,Middleweight,Male,2019-08-03,2019,14,0,2,0,2,3,2,0,0,1,0,2,0,0,Orthodox,2082
Trevin Giles,Peso_Pactado,Male,2020-02-08,2020,11,0,2,0,2,2,2,0,0,0,0,2,0,0,Orthodox,2082
Trevin Giles,Middleweight,Male,2019-05-18,2019,5,0,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,2082
Trevin Giles,Middleweight,Male,2017-12-09,2017,5,0,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,2082
Tai Tuivasa,Peso_Pactado,Male,2021-03-20,2021,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,1708
Tai Tuivasa,Peso_Pactado,Male,2019-06-08,2019,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,1708
Tai Tuivasa,Peso_Pactado,Male,2018-02-10,2018,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,1708
Tai Tuivasa,Error,Male,2019-10-05,2019,10,0,3,0,3,3,2,0,0,0,1,2,0,0,Southpaw,1708
Tai Tuivasa,Error,Male,2020-10-24,2020,12,0,3,0,3,3,3,0,0,0,1,2,0,0,Southpaw,1708
Tai Tuivasa,Error,Male,2018-12-01,2018,12,0,3,0,3,3,3,0,0,0,1,2,0,0,Southpaw,1708
Tai Tuivasa,Error,Male,2018-06-09,2018,12,0,3,0,3,3,3,0,0,0,1,2,0,0,Southpaw,1708
Tai Tuivasa,Error,Male,2017-11-18,2017,12,0,3,0,3,3,3,0,0,0,1,2,0,0,Southpaw,1708
