Name,ID
Adrian Yanez,1
Trevin Giles,2082
Tai Tuivasa,1708
Cheyanne Buys,4
Marion Reneau,1856
Leonardo Santos,2075
Song Kenan,1916
Derek Brunson,2258
Montel Jackson,1826
Bruno Silva,2004
Manel Kape,1584
Misha Cirkunov,2269
Leon Edwards,2048
Charles Jourdain,1860
Eryk Anders,2136
Angela Hill,1767
Jonathan Martinez,1717
Dan Ige,1833
Nasrat Haqparast,1942
Cortney Casey,2235
Matthew Semelsberger,1786
Rani Yahya,2317
Gloria de Paula,23
Dominick Cruz,1890
Song Yadong,1957
Petr Yan,2072
Jan Blachowicz,1751
Thiago Santos,2060
Joseph Benavidez,1822
Amanda Nunes,2129
Islam Makhachev,2194
Tim Elliott,1997
Livinha Souza,1795
Rogerio Bontorin,2124
Uros Medic,35
Kennedy Nzechukwu,2039
Sean Brady,1992
Mario Bautista,1929
Jairzinho Rozenstruik,1791
Montana De La Rosa,1776
Vince Cachero,1804
Alexander Hernandez,1697
Pedro Munhoz,2069
Alex Caceres,2280
Alexis Davis,2391
Nikita Krylov,1895
Dustin Jacoby,2906
Aleksei Oleinik,1798
Charles Rosa,1892
Phil Hawes,1705
Curtis Blaydes,2218
Eddie Wineland,2348
Andrei Arlovski,2245
Jared Gordon,1963
Ketlen Vieira,2247
Aiemann Zahabi,56
Serghei Spivac,1827
Nate Landwehr,1880
Shana Dobson,1789
Maycee Barber,1939
Belal Muhammad,1527
Maki Pitolo,1869
Kamaru Usman,2111
Ricky Simon,1956
Kelvin Gastelum,1820
Polyana Viana,2037
Rodolfo Vieira,67
Gabe Green,1872
Andre Ewell,1998
Alexandre Pantoja,2096
Karol Rosa,71
Devonte Smith,72
Michael Johnson,2099
Alistair Overeem,2328
Diego Ferreira,1937
Cory Sandhagen,1726
Mike Rodriguez,1769
Ode Osbourne,1941
SeungWoo Choi,2044
Molly McCann,2067
Timur Valiev,81
Dan Hooker,1849
Andrew Sanchez,2000
Julianna Pena,1741
Jessica Eye,2071
Dustin Poirier,2023
Brad Tavares,2237
Arman Tsarukyan,1828
Marina Rodriguez,1812
Amir Albazi,1825
Khalil Rountree Jr.,2006
Nik Lentz,1935
Omari Akhmedov,1949
Warlley Alves,2186
Matt Schnell,1945
Roxanne Modafferi,2159
Ike Villanueva,1886
Michael Chiesa,1933
Lerone Murphy,1831
Su Mudaerji,100
Francisco Figueiredo,101
Mike Davis,2091
Dalcha Lungiambula,1971
Umar Nurmagomedov,104
Victoria Leonardo,105
Wu Yanan,106
Punahele Soriano,107
Carlos Felipe,1744
Carlos Condit,2428
David Zawada,1972
